seed,corruption_kind,severity,metric,original_value,replay_value,abs_diff
85,eta_phi_jitter,0.02,confidence_drop,0.011574211744765472,0.011574211744765472,0.0
85,eta_phi_jitter,0.02,entropy_shift,0.033715240045706585,0.033715240045706585,0.0
85,eta_phi_jitter,0.05,delta_acc,0.25161333333333336,0.25161333333333336,0.0
85,eta_phi_jitter,0.05,class_js_divergence,0.07935790746262839,0.07935790746262839,0.0
85,eta_phi_jitter,0.05,confidence_drop,0.0009990396737059593,0.0009990396737059593,0.0
85,eta_phi_jitter,0.05,entropy_shift,0.024933792522845444,0.024933792522845444,0.0
85,global_scale,0.03,delta_acc,0.0033733333333333393,0.0033733333333333393,0.0
85,global_scale,0.03,class_js_divergence,6.372154860891918e-07,6.372154860891918e-07,0.0
85,global_scale,0.03,confidence_drop,0.0011177448560794057,0.0011177448560794057,0.0
85,global_scale,0.03,entropy_shift,0.002889102664799248,0.002889102664799248,0.0
85,merge,0.1,delta_acc,0.023453333333333326,0.023453333333333326,0.0
85,merge,0.1,class_js_divergence,0.0008383155377678214,0.0008383155377678214,0.0
85,merge,0.1,confidence_drop,0.004722624196906944,0.004722624196906944,0.0
85,merge,0.1,entropy_shift,0.013305358577079818,0.013305358577079818,0.0
85,merge,0.2,delta_acc,0.05385333333333342,0.05385333333333342,0.0
85,merge,0.2,class_js_divergence,0.003559065689766605,0.0035590656897665955,9.540979117872439e-18
85,merge,0.2,confidence_drop,0.010069817743102782,0.010069817743102782,0.0
85,merge,0.2,entropy_shift,0.028337486683893798,0.028337486683893798,0.0
85,pt_noise,0.03,delta_acc,0.0004866666666667463,0.0004866666666667463,0.0
85,pt_noise,0.03,class_js_divergence,2.4296670128792964e-08,2.4296670128792964e-08,0.0
85,pt_noise,0.03,confidence_drop,8.907286693660144e-05,8.907286693660144e-05,0.0
85,pt_noise,0.03,entropy_shift,0.00032076219019161467,0.00032076219019161467,0.0
85,pt_noise,0.06,delta_acc,0.0017333333333333645,0.0017333333333333645,0.0
85,pt_noise,0.06,class_js_divergence,1.3784428427669824e-07,1.3784428427669824e-07,0.0
85,pt_noise,0.06,confidence_drop,0.0004063944090406668,0.0004063944090406668,0.0
85,pt_noise,0.06,entropy_shift,0.0014128078060061666,0.0014128078060061666,0.0
