run_name,a_source,a_source_label,lambda_rrr,mask_frac,iteration,jetclass_test_acc,jetclass_test_auc,aspen_strong3
rrr_findanother_seed52_integrated_gradients_lam1_mask0p30,integrated_gradients,Integrated Gradients,1.0,0.3,5,0.7054333333333334,0.9544393016296298,0.751672899587326
rrr_findanother_seed52_smoothgrad_lam10_mask0p05,smoothgrad,SmoothGrad,10.0,0.05,1,0.7029066666666667,0.9540152656790124,0.4917560486549845
rrr_findanother_seed52_smoothgrad_lam10_mask0p05,smoothgrad,SmoothGrad,10.0,0.05,2,0.6872133333333333,0.9510948388148148,0.523217254864304
rrr_findanother_seed52_smoothgrad_lam10_mask0p05,smoothgrad,SmoothGrad,10.0,0.05,3,0.6906866666666667,0.9523654694074072,0.5430547511767881
rrr_findanother_seed52_smoothgrad_lam10_mask0p05,smoothgrad,SmoothGrad,10.0,0.05,4,0.6899466666666667,0.9522718796543208,0.5919855077470819
rrr_findanother_seed52_smoothgrad_lam10_mask0p05,smoothgrad,SmoothGrad,10.0,0.05,5,0.6936666666666667,0.9524904897283952,0.4701149215932139
rrr_findanother_seed52_smoothgrad_lam10_mask0p10,smoothgrad,SmoothGrad,10.0,0.1,1,0.70362,0.9542800983703704,0.517416488137863
rrr_findanother_seed52_smoothgrad_lam10_mask0p10,smoothgrad,SmoothGrad,10.0,0.1,2,0.68826,0.9514197589876544,0.5456591826203289
rrr_findanother_seed52_smoothgrad_lam10_mask0p10,smoothgrad,SmoothGrad,10.0,0.1,3,0.69222,0.9525611002962964,0.5003613915898818
rrr_findanother_seed52_smoothgrad_lam10_mask0p10,smoothgrad,SmoothGrad,10.0,0.1,4,0.6911266666666667,0.9523959764197532,0.743487025310036
rrr_findanother_seed52_smoothgrad_lam10_mask0p10,smoothgrad,SmoothGrad,10.0,0.1,5,0.6947933333333334,0.9527932349382716,0.5167145566288938
rrr_findanother_seed52_smoothgrad_lam10_mask0p20,smoothgrad,SmoothGrad,10.0,0.2,1,0.7017933333333334,0.9538260276543208,0.5674927198596061
rrr_findanother_seed52_smoothgrad_lam10_mask0p20,smoothgrad,SmoothGrad,10.0,0.2,2,0.6911333333333334,0.9518255538765432,0.6617373652306102
rrr_findanother_seed52_smoothgrad_lam10_mask0p20,smoothgrad,SmoothGrad,10.0,0.2,3,0.6931866666666666,0.9528381523209876,0.5729352253880973
rrr_findanother_seed52_smoothgrad_lam10_mask0p20,smoothgrad,SmoothGrad,10.0,0.2,4,0.69196,0.9526214096790124,0.8239931507488097
rrr_findanother_seed52_smoothgrad_lam10_mask0p20,smoothgrad,SmoothGrad,10.0,0.2,5,0.69728,0.9531041542222224,0.5410332261427299
rrr_findanother_seed52_smoothgrad_lam10_mask0p30,smoothgrad,SmoothGrad,10.0,0.3,1,0.7031266666666667,0.9540030579012344,0.5372981252296143
rrr_findanother_seed52_smoothgrad_lam10_mask0p30,smoothgrad,SmoothGrad,10.0,0.3,2,0.69254,0.952070535925926,0.6840645172910401
rrr_findanother_seed52_smoothgrad_lam10_mask0p30,smoothgrad,SmoothGrad,10.0,0.3,3,0.6952466666666667,0.9532607924197528,0.5897721872946641
rrr_findanother_seed52_smoothgrad_lam10_mask0p30,smoothgrad,SmoothGrad,10.0,0.3,4,0.6951133333333334,0.9530554475555556,0.8214986510122162
rrr_findanother_seed52_smoothgrad_lam10_mask0p30,smoothgrad,SmoothGrad,10.0,0.3,5,0.6980266666666667,0.9534017319506172,0.5713271248011211
